,is_not_hispanic,derived_race,is_male,action_taken,preapproval_requested,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt
0,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,105000.0,75.0,2,2,91.0,36%-<50%,35-44,6.22881869049588,0.38,34.58
1,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,275000.0,52.38,2,2,142.0,36%-<50%,>74,5.710944154575872,0.38,53.96
2,Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Purchase,235000.0,80.0,2,2,60.0,36%-<50%,35-44,6.321928094887363,0.38,22.8
3,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,94.69,2,2,112.0,36%-<50%,35-44,6.565140168815646,0.38,42.56
4,Not Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,415000.0,100.0,2,2,83.0,50%-60%,25-34,6.643856189774724,0.55,45.650000000000006
5,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,215000.0,79.06,2,2,54.0,>60%,55-64,6.304876050044889,0.65,35.1
6,Not Hispanic or Latino,White,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,625000.0,100.0,2,2,179.0,30%-<36%,45-54,6.643856189774724,0.33,59.07
7,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,445000.0,100.0,2,2,122.0,36%-<50%,35-44,6.643856189774724,0.38,46.36
8,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,VA-guaranteed,Refinancing,755000.0,87.2,2,2,159.0,30%-<36%,35-44,6.446256229889564,0.33,52.470000000000006
9,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,305000.0,100.0,2,2,66.0,50%-60%,45-54,6.643856189774724,0.55,36.300000000000004
10,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,75000.0,37.24,2,2,98.0,>60%,45-54,5.218781167784069,0.65,63.7
11,Not Hispanic or Latino,White,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,755000.0,99.24,2,2,220.0,30%-<36%,25-34,6.632849830117706,0.33,72.60000000000001
12,Not Hispanic or Latino,Black or African American,Male,1,Preapproval Requested,VA-guaranteed,Home Purchase,505000.0,100.0,2,2,116.0,36%-<50%,35-44,6.643856189774724,0.38,44.08
