,is_not_hispanic,is_male,preapproval_requested,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt,derived_race_Asian,derived_race_Black or African American,derived_race_Minority Races,derived_race_White,debt_to_income_ratio_20%-<30%,debt_to_income_ratio_30%-<36%,debt_to_income_ratio_36%-<50%,debt_to_income_ratio_50%-60%,debt_to_income_ratio_<20%,debt_to_income_ratio_>60%,applicant_age_25-34,applicant_age_35-44,applicant_age_45-54,applicant_age_55-64,applicant_age_65-74,applicant_age_<25,applicant_age_>74,loan_type_Converntional,loan_type_FHA-insured,loan_type_VA-guaranteed,loan_purpose_Home Improvement,loan_purpose_Home Purchase,loan_purpose_Other Purpose,loan_purpose_Refinancing
0,1.0,0.0,0.0,-0.2903268968796255,0.9596079781216184,0.23625225538129552,0.13698346380285525,-0.27819387873457374,0.7835197781157976,0.1187865792780793,-0.39105899596624044,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1.0,0.0,0.0,-0.6905006468642448,-0.3148309982946638,0.23625225538129552,0.13698346380285525,-0.19478590125063588,-0.07287488374133719,-0.9458847872158778,-0.44777496841092257,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,-0.875196223780223,-0.4879801865196186,0.23625225538129552,0.13698346380285525,-0.15308191250866696,-0.22163502181865435,0.1187865792780793,-0.14238127063186495,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1.0,0.0,0.0,-0.813631031474897,-1.6704311504791975,0.23625225538129552,0.13698346380285525,-0.4385938354344542,-1.681814417665531,1.5110491354624849,-0.6357095516595733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,1.0,0.0,0.0,-0.38267468533761456,0.35811705098537033,0.23625225538129552,0.13698346380285525,-0.22044989432261675,0.42217422558803436,-0.9458847872158778,-0.4813347154196102,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,1.0,1.0,0.0,0.3253250261736351,0.7591110024095358,0.23625225538129552,0.13698346380285525,0.356989949796953,0.6698338849845092,-0.290702407834981,0.6415744194910784,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1.0,0.0,0.0,-0.3518920891849515,-0.04287690043879502,0.23625225538129552,0.13698346380285525,-0.22365789345661435,0.14140086097035962,-0.290702407834981,-0.3606874249233781,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,-0.16719651226897334,0.13516441399353432,0.23625225538129552,0.13698346380285525,-0.1723299073126526,0.27071167925449785,2.3300271096886056,0.31319229501106993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,1.0,0.0,-0.25954430072696244,0.7591110024095358,0.23625225538129552,0.13698346380285525,-0.18195390471464545,0.6698338849845092,-0.9458847872158778,-0.4309950949065787,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,1.0,0.0,0.0,-0.9675440122382122,0.7210165770242399,0.23625225538129552,0.13698346380285525,-0.23969788912660242,0.6475209921825664,0.1187865792780793,-0.31454277278643267,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1.0,1.0,0.0,-0.3518920891849515,1.7834901507177088,0.23625225538129552,0.13698346380285525,-0.3519778588165187,1.1952067161714106,0.1187865792780793,-0.5377150903942054,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,1.0,1.0,1.0,2.8494979106920035,0.5586140266974531,0.23625225538129552,0.13698346380285525,0.27678997144701273,0.5496482128768362,0.1187865792780793,0.7120498882093225,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1.0,0.0,0.0,-1.0291092045435382,-2.3864459501421873,0.23625225538129552,0.13698346380285525,-0.4738818259084279,-3.646130842337231,0.1187865792780793,-0.7800164637969302,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1.0,1.0,0.0,0.6331509877002655,0.15762007527328767,0.23625225538129552,0.13698346380285525,0.34415795326096255,0.28647057290316696,0.1187865792780793,0.8459532787739861,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14,1.0,1.0,0.0,0.20219464156298303,0.9596079781216184,0.23625225538129552,0.13698346380285525,-0.2525298856625928,0.7835197781157976,0.1187865792780793,-0.3400481805130352,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,1.0,0.0,0.0,-0.16719651226897334,1.011336197855336,0.23625225538129552,0.13698346380285525,-0.15308191250866696,0.8118797992682147,-0.9458847872158778,-0.39324037952180513,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
16,1.0,1.0,0.0,-0.3211094930322885,1.0542425506577213,0.23625225538129552,0.13698346380285525,-0.2974418735385594,0.8351164333924451,0.1187865792780793,-0.42931710755614433,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,1.0,0.0,0.0,-1.0598918006962013,-0.2650275495277829,0.23625225538129552,0.13698346380285525,-0.32310586661054025,-0.03196561208059788,2.3300271096886056,-0.1994328405466339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.2637598338683091,-0.0069478423911897656,0.23625225538129552,0.13698346380285525,-0.08892192982871476,0.16814432894855205,0.1187865792780793,-0.014854231998851991,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,1.0,0.0,0.0,-0.4442398776429406,-0.59785252920984,0.23625225538129552,0.13698346380285525,-0.2332818908586072,-0.321798830891402,-0.290702407834981,-0.37729949969267845,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
