ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,3,0,1,0,1,3.0,75.0,0,0,4,2,3,2
0,3,0,0,0,1,3.0,52.38,0,0,4,3,4,2
1,1,1,0,0,1,1.0,80.0,0,0,4,2,3,2
0,1,1,1,0,1,1.0,94.69,0,0,4,2,4,3
0,3,1,1,1,2,1.0,100.0,0,0,5,1,3,4
0,3,0,1,0,1,3.0,79.06,0,0,6,3,3,2
0,1,1,1,1,2,1.0,100.0,0,0,3,2,4,4
0,2,1,1,0,1,1.0,100.0,0,0,4,2,4,4
0,3,1,1,0,2,3.0,87.2,0,0,3,2,4,3
0,3,0,1,1,1,1.0,100.0,0,0,5,2,3,4
0,3,0,0,0,1,2.0,37.24,0,0,6,2,3,2
0,1,1,1,1,2,1.0,99.24,0,0,3,1,4,4
0,3,1,1,1,2,1.0,100.0,0,0,4,2,4,4
0,1,0,1,0,1,2.0,8.98,0,0,5,3,3,2
0,1,1,1,0,1,4.0,94.99,0,0,4,2,4,3
0,3,0,0,0,1,1.0,134.35,0,0,5,2,2,1
1,3,0,1,0,1,3.0,59.7,0,0,4,3,3,2
0,3,1,1,0,1,3.0,64.78,0,0,4,2,3,2
0,4,1,0,0,2,3.0,100.0,0,0,1,2,5,4
0,1,0,1,1,1,1.0,71.81,0,0,3,1,4,2
1,1,0,0,0,1,2.0,75.38,0,0,5,2,4,2
0,1,0,1,0,1,2.0,95.0,0,0,4,1,4,3
0,3,0,1,0,1,4.0,88.38,0,0,4,2,4,3
0,3,0,1,0,1,2.0,89.9,0,0,4,2,4,3
0,3,0,1,0,1,2.0,52.88,0,0,3,3,3,2
0,3,1,1,0,1,3.0,94.99,0,0,5,1,3,3
0,1,1,0,0,2,3.0,47.45,0,0,2,3,4,2
0,1,1,1,0,1,1.0,79.59,0,0,4,1,4,2
0,1,1,1,1,1,1.0,85.0,0,0,4,2,4,3
0,1,1,1,1,2,1.0,83.71,0,0,4,2,4,3
0,1,0,1,0,1,2.0,72.95,0,0,4,2,4,2
1,1,1,1,0,1,1.0,47.87,0,0,5,1,3,2
0,3,0,1,1,1,1.0,97.0,0,0,5,2,4,4
0,3,0,0,0,1,2.0,54.16,0,0,6,2,3,2
0,2,1,1,1,2,1.0,80.0,0,0,2,2,4,2
0,1,1,0,0,1,3.0,66.95,0,0,4,3,4,2
0,3,0,1,0,1,2.0,78.63,0,0,5,2,4,2
0,1,0,1,1,1,1.0,90.0,0,0,4,3,4,3
0,3,0,1,0,1,4.0,48.88,0,0,3,3,4,2
0,1,1,0,0,2,3.0,100.0,0,0,1,2,1,4
0,3,1,1,0,1,2.0,59.52,0,0,2,2,4,2
0,2,1,1,1,1,1.0,80.0,0,0,4,2,4,2
0,3,0,0,0,1,2.0,50.0,0,0,5,2,3,2
0,3,0,1,1,1,1.0,101.74,0,0,4,2,4,1
0,3,0,0,0,1,3.0,35.93,0,0,6,2,4,2
0,3,0,0,0,1,4.0,82.26,0,0,6,2,1,3
0,3,0,0,0,1,3.0,84.11,0,0,6,2,1,3
0,3,1,0,0,1,2.0,26.12,0,0,5,3,3,2
0,3,0,1,0,1,2.0,82.66,0,0,3,2,4,3
0,3,1,1,0,1,3.0,50.66,0,0,4,2,4,2
0,4,0,1,0,1,2.0,85.93,0,0,4,2,4,3
0,3,0,0,0,1,2.0,55.62,0,0,6,3,4,2
0,1,1,1,0,1,2.0,92.57,0,0,4,3,3,3
0,1,1,1,0,1,2.0,6.8,1,0,3,3,3,2
0,3,0,0,0,1,3.0,72.9,0,0,5,2,3,2
1,1,0,0,0,1,2.0,75.42,0,0,6,2,3,2
0,1,1,1,0,1,2.0,94.02,0,0,2,2,4,3
0,1,0,0,0,1,2.0,89.99,0,0,3,1,4,3
0,3,0,0,0,1,2.0,53.17,0,0,6,3,4,2
0,3,0,0,0,1,1.0,101.74,0,0,3,2,3,1
0,1,1,1,0,1,2.0,89.74,0,0,6,2,4,3
0,1,1,0,0,1,4.0,85.21,0,0,6,2,4,3
1,3,1,1,0,1,3.0,95.0,0,0,5,2,4,3
0,3,1,0,0,1,3.0,71.23,0,0,6,1,3,2
0,1,0,0,0,2,1.0,100.0,0,0,4,2,4,4
0,3,0,0,0,1,3.0,43.01,0,0,6,2,3,2
0,1,1,1,0,1,2.0,90.0,0,0,5,2,4,3
0,3,1,0,0,1,3.0,80.1,0,0,6,2,3,3
0,3,1,1,0,1,2.0,75.3,0,0,4,2,4,2
0,3,0,0,0,1,2.0,10.0,0,0,1,2,4,2
0,3,0,0,0,1,3.0,54.4,1,0,6,3,1,2
0,3,1,1,1,2,1.0,93.14,0,0,5,1,4,3
0,3,0,1,1,1,1.0,95.0,0,0,4,1,3,3
0,1,1,1,0,1,2.0,64.93,0,0,5,2,4,2
0,3,0,1,0,1,2.0,51.36,0,0,4,2,3,2
0,3,0,0,0,1,1.0,101.75,0,0,3,2,4,1
0,3,0,0,0,1,3.0,74.28,0,0,6,2,3,2
1,1,1,0,0,1,3.0,82.11,0,0,1,1,5,3
0,3,1,0,0,1,3.0,82.6,0,0,5,2,3,3
0,3,0,0,0,1,2.0,25.83,1,0,4,3,3,2
0,3,1,1,0,1,3.0,89.52,0,0,6,2,4,3
