ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,0,1,0,1,1.0,80.0,0.0,0,3,3,5,2
0,1,1,1,0,2,3.0,35.548,0.0,0,4,3,3,2
0,2,0,1,0,1,3.0,83.0,0.0,0,4,2,3,3
0,1,0,1,0,1,3.0,49.0,0.0,0,2,3,1,2
0,3,0,1,0,1,1.0,48.0,0.0,0,4,3,4,2
0,3,0,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,2,1,0,0,1,1.0,90.0,0.0,0,4,1,5,3
0,1,1,1,0,1,3.0,86.11,1.0,0,2,2,4,3
0,1,1,0,0,1,3.0,105.22,0.0,0,4,3,4,1
0,1,0,1,0,1,1.0,90.0,1.0,0,4,3,4,3
0,1,1,1,0,1,1.0,90.0,1.0,0,2,2,4,3
0,1,1,1,0,1,1.0,85.0,1.0,0,4,1,4,3
0,2,0,0,0,1,1.0,90.0,0.0,0,3,2,4,3
0,1,1,1,0,1,1.0,65.0,1.0,0,4,2,2,2
0,1,1,1,0,1,3.0,56.13,1.0,0,1,2,5,2
1,1,1,1,0,1,1.0,90.0,0.0,0,4,1,3,3
0,2,0,1,0,1,1.0,95.0,0.0,0,4,2,4,3
0,1,0,1,0,1,1.0,78.85,0.0,0,4,1,3,2
0,3,1,1,0,1,1.0,95.0,0.0,0,3,1,3,3
0,2,1,0,0,1,3.0,98.75,1.0,0,4,2,4,4
0,1,1,1,0,1,1.0,75.0,0.0,0,4,2,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,1,1,0,1,1.0,90.0,0.0,0,2,1,4,3
0,2,1,1,0,1,1.0,75.0,0.0,0,4,2,3,2
0,2,1,0,0,1,1.0,80.0,0.0,0,5,1,4,2
0,2,1,1,0,1,1.0,90.0,0.0,0,2,1,4,3
0,2,1,1,0,1,3.0,80.0,0.0,0,4,2,4,2
0,1,1,0,0,2,3.0,92.97,0.0,0,4,2,4,3
0,1,1,0,0,1,1.0,80.0,0.0,0,4,1,4,2
0,2,1,1,0,1,1.0,89.97,0.0,0,3,2,4,3
0,2,1,0,0,1,1.0,63.31,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,85.0,0.0,0,3,1,3,3
0,1,1,1,0,1,3.0,67.08,0.0,0,3,2,5,2
0,1,1,0,0,2,3.0,99.1,0.0,0,4,1,3,4
0,1,1,1,0,1,1.0,66.1,0.0,0,4,3,4,2
0,1,0,1,0,1,1.0,86.0,0.0,0,4,1,4,3
0,2,1,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,0,0,0,1,3.0,95.0,0.0,0,3,2,4,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,2,4,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,4,3
0,1,0,1,0,1,3.0,41.11,0.0,0,4,3,3,2
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,1,0,1,1.0,75.0,0.0,0,2,2,4,2
0,2,0,1,0,1,3.0,68.06,0.0,0,4,2,4,2
0,2,0,0,0,1,1.0,79.84,0.0,0,4,2,3,2
0,2,0,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,4,2
0,2,0,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,1,0,1,1.0,65.0,0.0,0,4,2,2,2
0,1,1,1,0,1,1.0,90.0,0.0,0,4,3,4,3
0,1,1,1,0,1,3.0,72.87,0.0,0,4,2,4,2
0,1,1,1,0,1,1.0,87.06,0.0,0,4,1,3,3
0,1,1,0,0,1,4.0,99.63,0.0,0,4,2,4,4
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,0,0,1,3.0,90.59,0.0,0,5,2,5,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,5,2
0,1,1,0,0,1,3.0,44.83,0.0,0,4,3,4,2
0,1,1,1,0,1,1.0,90.0,0.0,0,2,1,4,3
0,1,0,1,0,1,1.0,80.0,0.0,0,2,2,4,2
0,2,1,1,0,1,1.0,90.0,0.0,0,3,2,4,3
0,1,1,0,0,1,1.0,80.0,0.0,0,6,2,4,2
0,2,1,1,0,1,3.0,80.0,0.0,0,3,2,4,2
0,1,0,1,0,1,3.0,77.09,0.0,0,4,3,3,2
0,2,0,0,0,1,1.0,95.0,0.0,0,5,2,4,3
0,2,1,1,0,1,1.0,85.77,0.0,0,4,2,4,3
0,1,1,1,0,1,3.0,79.82,0.0,0,3,2,5,2
0,1,0,1,0,1,3.0,79.62,0.0,0,3,2,4,2
0,1,0,1,0,1,3.0,88.21,0.0,0,4,1,4,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,0,0,2,1.0,96.42,0.0,0,4,1,4,3
0,1,1,0,0,1,3.0,80.0,0.0,0,4,2,4,2
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,4,3
0,2,0,1,0,1,1.0,64.71,0.0,0,4,2,4,2
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,3,3
0,1,1,1,0,1,3.0,78.86,0.0,0,3,1,4,2
0,2,0,1,0,1,1.0,89.14,0.0,0,3,2,4,3
0,1,0,1,0,2,1.0,99.53,0.0,0,4,2,4,4
0,1,0,0,0,1,1.0,80.0,0.0,0,1,2,4,2
0,1,0,1,0,1,1.0,95.0,0.0,0,2,2,4,3
0,2,0,1,0,1,1.0,74.99,0.0,0,3,2,4,2
0,1,0,1,0,1,1.0,76.58,0.0,0,4,3,4,2
0,1,0,1,0,1,1.0,80.83,0.0,0,3,2,4,3
0,1,1,0,0,1,3.0,50.0,1.0,0,6,3,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,1,0,0,1,1.0,80.0,0.0,0,6,2,4,2
0,1,1,0,0,1,3.0,59.18,0.0,0,3,2,4,2
0,2,1,1,0,1,3.0,90.0,0.0,0,4,2,4,3
0,1,0,1,0,1,1.0,59.88,0.0,0,1,2,4,2
0,1,0,0,0,1,3.0,92.86,0.0,0,2,2,5,3
0,1,0,0,0,1,1.0,73.15,0.0,0,3,1,4,2
0,1,1,1,0,1,1.0,85.0,0.0,0,2,2,3,3
0,1,0,1,0,1,1.0,80.0,0.0,0,2,2,3,2
0,2,1,1,0,1,1.0,69.88,0.0,0,4,1,4,2
0,1,1,1,0,1,3.0,51.18,0.0,0,4,3,4,2
0,1,1,0,0,1,2.0,77.92,1.0,0,4,2,5,2
0,1,1,1,0,1,3.0,80.0,0.0,0,3,2,4,2
0,1,0,1,0,1,1.0,90.0,0.0,0,4,3,4,3
0,1,0,1,0,1,1.0,78.9,0.0,0,3,1,4,2
0,2,1,1,0,1,3.0,79.93,0.0,0,4,2,4,2
0,2,1,1,0,1,3.0,90.0,0.0,0,4,2,4,3
0,3,1,1,0,1,3.0,91.04,0.0,0,2,2,4,3
0,1,1,1,0,1,1.0,85.0,0.0,0,3,2,4,3
0,1,1,1,0,1,1.0,90.0,0.0,0,2,2,4,3
0,2,0,1,0,1,3.0,77.39,0.0,0,4,2,3,2
0,2,0,1,0,1,1.0,67.6,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,63.38,0.0,0,4,2,4,2
0,2,1,0,0,1,3.0,80.0,0.0,0,4,2,4,2
0,2,1,0,0,1,1.0,90.0,0.0,0,4,1,4,3
0,2,0,1,0,1,1.0,95.0,0.0,0,3,2,4,3
0,2,1,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,2,0,0,0,1,3.0,74.29,0.0,0,4,2,4,2
0,3,0,0,0,1,1.0,80.0,1.0,0,4,2,5,2
0,2,1,1,0,1,1.0,85.0,0.0,0,3,1,3,3
0,1,0,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,0,0,1,3.0,86.8,1.0,0,3,3,5,3
0,1,0,0,0,1,3.0,75.0,0.0,0,6,2,4,2
0,1,0,1,0,1,2.0,80.0,1.0,0,4,2,4,2
0,2,1,0,0,1,3.0,41.67,0.0,0,6,2,3,2
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,4,3
1,1,0,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,2,1,1,0,1,1.0,95.0,0.0,0,3,1,4,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,2,1,0,0,1,1.0,90.0,0.0,0,4,1,4,3
0,2,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,73.12,0.0,0,3,1,5,2
0,1,1,1,0,1,1.0,85.0,0.0,0,4,1,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,1,0,2,1.0,102.15,0.0,0,2,2,4,1
0,2,1,1,0,1,1.0,80.0,0.0,0,3,2,4,2
