ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,1,1,0,1,1.0,61.0,0.0,0,3,3,5,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,2,4,3
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,3.0,57.38,0.0,0,2,2,3,2
0,1,0,1,0,1,1.0,72.38,0.0,0,2,3,4,2
0,1,0,1,0,1,1.0,97.0,0.0,0,4,3,2,4
0,1,1,1,0,2,1.0,102.15,0.0,0,4,1,3,1
0,1,1,1,0,1,3.0,63.76,0.0,0,4,3,4,2
0,1,1,1,0,1,3.0,85.0,0.0,0,2,2,3,3
0,1,1,1,0,1,3.0,67.67,0.0,0,3,1,2,2
1,1,0,1,0,1,3.0,60.0,0.0,0,4,3,1,2
0,1,1,1,0,2,1.0,80.1,0.0,0,2,2,4,3
0,1,0,1,0,1,3.0,52.74,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,75.0,0.0,0,3,2,2,2
0,1,0,0,0,1,3.0,77.0,0.0,0,4,2,3,2
1,1,1,0,0,1,3.0,93.39,0.0,0,4,2,2,3
0,1,1,0,0,1,3.0,78.68,0.0,0,6,3,1,2
0,1,1,0,0,1,3.0,65.31,0.0,0,2,1,2,2
0,1,0,1,0,1,1.0,75.0,0.0,0,3,3,3,2
0,1,0,0,0,1,3.0,64.0,0.0,0,6,2,2,2
0,3,0,0,0,1,3.0,38.0,0.0,0,5,3,1,2
0,3,0,1,0,1,1.0,85.0,0.0,0,4,2,2,3
0,3,1,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,1,3.0,42.5,0.0,0,4,2,3,2
0,1,1,1,0,1,3.0,57.82,1.0,0,2,2,5,2
0,2,1,1,0,1,2.0,85.11,1.0,0,3,3,5,3
0,1,0,1,0,1,2.0,85.0,1.0,0,1,3,4,3
0,1,0,0,0,1,1.0,60.66,1.0,0,6,3,2,2
1,1,1,1,0,1,2.0,53.02,1.0,0,3,3,4,2
0,1,1,1,0,1,2.0,14.53,1.0,0,1,3,3,2
0,1,1,0,0,1,1.0,64.0,0.0,0,2,3,4,2
0,3,0,0,0,1,1.0,90.0,0.0,0,3,2,2,3
0,1,0,1,0,1,3.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,2,3.0,90.0,0.0,0,4,3,3,3
0,1,1,1,0,1,3.0,74.0,0.0,0,3,2,4,2
0,1,0,1,0,1,3.0,75.0,0.0,0,5,3,3,2
0,1,1,1,0,2,3.0,80.0,0.0,0,3,2,4,2
1,1,1,1,0,2,1.0,100.0,0.0,0,4,1,3,4
0,3,0,1,0,1,1.0,97.0,0.0,0,3,3,2,4
0,3,0,1,0,1,3.0,80.0,0.0,0,4,3,2,2
0,1,0,1,0,2,1.0,95.0,0.0,0,4,3,4,3
1,1,1,1,0,1,3.0,96.0,0.0,0,4,1,4,3
0,1,1,1,0,2,3.0,100.0,0.0,0,4,3,2,4
0,3,1,0,0,1,3.0,80.0,0.0,0,6,3,1,2
0,3,0,1,0,1,1.0,75.0,0.0,0,4,2,3,2
0,3,1,0,0,1,1.0,87.0,0.0,0,4,2,2,3
0,1,0,1,0,1,1.0,90.0,0.0,0,2,2,4,3
0,3,0,0,0,1,3.0,56.0,0.0,0,6,3,2,2
0,1,1,0,0,2,3.0,100.0,0.0,0,2,3,3,4
0,1,1,1,0,2,3.0,58.76,0.0,0,4,3,1,2
0,1,0,0,0,1,3.0,93.0,0.0,0,2,3,3,3
0,1,1,0,0,2,3.0,96.0,0.0,0,4,3,2,3
0,1,1,1,0,1,3.0,75.0,0.0,0,6,2,4,2
0,1,0,1,0,1,3.0,63.0,0.0,0,3,2,3,2
0,1,0,1,0,2,3.0,79.28,0.0,0,4,3,1,2
0,3,0,1,0,1,3.0,36.0,0.0,0,2,3,3,2
1,1,1,1,0,2,1.0,100.0,0.0,0,4,1,3,4
1,1,1,1,0,2,3.0,87.3,0.0,0,2,2,4,3
0,3,0,0,0,1,3.0,96.0,0.0,0,1,3,3,3
1,1,1,0,0,1,1.0,80.0,0.0,0,6,1,3,2
0,1,0,0,0,2,3.0,100.0,0.0,0,1,2,2,4
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,3,2
0,4,1,0,0,1,3.0,88.0,0.0,0,1,2,2,3
0,3,1,1,0,2,3.0,82.81,0.0,0,2,2,4,3
0,1,1,0,0,2,3.0,100.0,0.0,0,6,3,3,4
0,3,1,0,0,1,3.0,96.0,0.0,0,2,2,3,3
0,1,1,1,0,1,3.0,80.0,0.0,0,3,2,3,2
0,1,1,1,0,2,3.0,85.92,0.0,0,4,3,3,3
0,1,0,1,0,1,1.0,70.0,0.0,0,4,3,3,2
0,1,0,1,0,2,3.0,100.0,0.0,0,4,2,3,4
0,1,1,1,0,2,3.0,100.0,0.0,0,4,2,3,4
0,4,1,0,0,2,3.0,90.0,0.0,0,6,3,3,3
0,1,1,1,0,1,3.0,90.0,0.0,0,3,1,3,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,0,0,0,1,3.0,82.0,0.0,0,2,3,2,3
1,1,1,1,0,2,3.0,89.99,0.0,0,5,2,2,3
0,1,0,1,0,1,1.0,80.0,0.0,0,2,3,3,2
0,1,1,1,0,1,1.0,34.0,0.0,0,4,3,4,2
0,1,1,1,0,2,3.0,92.76,0.0,0,4,3,2,3
0,1,1,1,0,2,3.0,100.0,0.0,0,4,1,3,4
0,1,1,1,0,1,3.0,95.0,0.0,0,3,1,4,3
0,1,1,1,0,2,3.0,100.0,0.0,0,4,3,3,4
0,1,0,1,0,1,3.0,62.0,0.0,0,3,1,2,2
0,1,0,0,0,1,3.0,88.0,0.0,0,1,1,3,3
0,1,1,1,0,2,3.0,71.72,0.0,0,3,3,4,2
0,1,1,1,0,2,3.0,99.25,0.0,0,4,3,3,4
1,1,0,1,0,2,1.0,100.0,0.0,0,5,2,4,4
0,3,0,1,0,1,1.0,70.0,0.0,0,4,3,3,2
1,1,1,1,0,1,3.0,49.0,0.0,0,4,1,1,2
0,3,0,0,0,2,3.0,90.91,0.0,0,6,3,1,3
0,1,0,0,0,1,3.0,31.0,0.0,0,1,3,2,2
0,1,0,0,0,1,3.0,93.0,0.0,0,1,1,3,3
1,1,0,1,0,1,1.0,97.0,0.0,0,4,2,1,4
0,1,0,1,0,1,1.0,59.0,0.0,0,4,3,2,2
1,1,1,1,0,1,1.0,49.0,0.0,0,2,2,3,2
0,1,0,1,0,1,1.0,75.0,0.0,0,6,3,4,2
0,1,1,1,0,2,3.0,95.67,0.0,0,4,2,4,3
0,1,1,1,0,1,3.0,57.492,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,97.0,0.0,0,4,2,3,4
0,1,1,1,0,1,1.0,97.0,0.0,0,4,2,1,4
0,1,1,1,0,1,1.0,4.286,0.0,0,1,2,2,2
0,3,1,0,0,1,1.0,99.672,0.0,0,4,3,3,4
0,3,1,0,0,1,4.0,101.672,1.0,0,1,3,3,1
1,1,0,1,0,1,1.0,38.462,0.0,0,4,3,1,2
0,1,0,1,0,1,1.0,75.0,0.0,0,2,3,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,2,1,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,43.301,0.0,0,4,2,3,2
1,1,1,1,0,1,1.0,90.0,0.0,0,4,2,3,3
0,1,0,1,0,1,1.0,80.0,0.0,0,2,2,4,2
0,1,0,0,0,1,1.0,95.0,0.0,0,6,2,3,3
0,1,1,1,0,1,1.0,91.035,0.0,0,4,2,3,3
0,1,1,1,0,2,1.0,100.0,0.0,0,4,3,3,4
0,1,1,1,0,1,1.0,43.796,0.0,0,2,3,2,2
0,1,0,1,0,1,1.0,48.82,1.0,0,4,3,4,2
0,1,0,1,0,1,1.0,44.248,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,2,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,1,1,0,1,1.0,90.0,0.0,0,4,3,3,3
0,1,1,1,0,1,1.0,97.0,0.0,0,2,2,3,4
0,1,1,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,4,2
0,2,1,1,0,1,3.0,29.412,0.0,0,5,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,0,1,0,1,1.0,23.469,0.0,0,4,3,3,2
1,1,1,1,0,2,1.0,100.0,0.0,0,4,3,3,4
0,1,0,1,0,1,1.0,90.0,0.0,0,4,2,3,3
0,1,1,1,0,1,3.0,65.893,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,75.0,0.0,0,4,3,2,2
0,1,0,1,0,1,1.0,43.137,0.0,0,2,3,3,2
0,1,1,1,0,1,1.0,66.807,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,64.58,0.0,0,1,2,5,2
0,1,0,1,0,1,3.0,60.837,0.0,0,4,2,2,2
0,1,1,1,0,2,1.0,103.3,0.0,0,3,3,3,1
0,1,1,1,0,2,1.0,100.0,0.0,0,6,3,2,4
0,1,1,1,0,1,1.0,80.0,0.0,0,1,3,4,2
0,1,1,1,0,1,1.0,90.0,0.0,0,4,3,4,3
0,1,0,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,1,1,1,0,2,1.0,103.3,0.0,0,4,3,3,1
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,0,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,1,1,1,0,1,1.0,80.0,0.0,0,3,2,3,2
0,1,0,0,0,1,1.0,80.0,1.0,0,6,2,1,2
0,1,1,1,0,1,1.0,80.0,0.0,0,2,2,3,2
0,1,0,1,0,1,1.0,50.345,0.0,0,4,3,2,2
0,1,0,1,0,1,1.0,90.0,0.0,0,4,3,3,3
0,1,1,1,0,1,3.0,47.42,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,89.648,0.0,0,1,3,4,3
0,1,1,1,0,1,1.0,90.0,0.0,0,3,2,4,3
0,1,1,1,0,1,1.0,95.0,0.0,0,2,3,3,3
0,1,0,1,0,1,1.0,90.0,0.0,0,4,3,2,3
1,3,0,0,0,1,3.0,77.5,0.0,0,4,1,3,2
0,1,0,1,0,1,3.0,73.6,0.0,0,4,1,3,2
1,1,1,0,0,1,3.0,62.86,0.0,0,3,3,3,2
0,1,1,0,0,1,3.0,73.45,0.0,0,3,2,3,2
0,2,1,0,0,1,3.0,88.36,0.0,0,6,2,4,3
0,4,1,1,0,2,3.0,99.96,0.0,0,3,3,3,4
0,1,1,0,0,2,3.0,92.86,0.0,0,6,3,2,3
0,1,1,0,0,1,3.0,85.0,0.0,0,3,1,3,3
0,1,1,1,0,1,3.0,47.54,0.0,0,4,2,4,2
0,3,0,0,0,1,3.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,2,2
0,1,1,1,0,2,3.0,94.66,0.0,0,3,2,2,3
0,1,0,0,0,2,3.0,85.65,0.0,0,5,3,1,3
0,3,0,0,0,1,3.0,80.0,0.0,0,4,2,2,2
0,3,1,1,0,1,3.0,76.33,0.0,0,4,2,3,2
0,1,1,1,0,2,3.0,85.52,0.0,0,4,2,3,3
0,1,0,1,0,1,3.0,73.88,0.0,0,4,1,4,2
0,1,0,1,0,1,3.0,84.2,0.0,0,4,3,3,3
1,1,1,1,0,1,1.0,78.18,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,1,0,0,1,3.0,64.12,0.0,0,4,2,3,2
0,2,0,0,0,1,3.0,79.65,0.0,0,4,3,2,2
0,3,0,1,0,1,3.0,62.5,0.0,0,4,2,2,2
0,1,0,0,0,1,3.0,90.19,0.0,0,5,1,2,3
0,1,0,1,0,1,1.0,85.0,0.0,0,3,2,4,3
0,1,0,0,0,1,3.0,66.67,0.0,0,4,2,3,2
0,2,0,0,0,1,1.0,80.0,0.0,0,6,3,1,2
0,1,1,0,0,1,3.0,80.0,0.0,0,3,1,3,2
0,1,1,0,0,1,3.0,78.99,0.0,0,4,2,3,2
1,1,0,0,0,1,3.0,64.2,0.0,0,3,2,3,2
1,1,1,0,0,1,3.0,67.64,0.0,0,3,3,3,2
0,1,1,0,0,1,3.0,79.79,0.0,0,2,1,3,2
0,1,1,1,0,1,1.0,77.01,0.0,0,4,3,4,2
1,1,1,1,0,1,3.0,88.97,0.0,0,4,1,2,3
1,1,0,0,0,1,3.0,89.46,0.0,0,4,2,2,3
0,1,0,0,0,1,3.0,62.58,0.0,0,4,2,2,2
0,1,1,1,0,1,3.0,76.32,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,90.0,0.0,0,4,3,4,3
1,1,1,1,0,2,1.0,73.58,0.0,0,2,3,3,2
0,1,0,1,0,1,3.0,76.89,0.0,0,4,2,2,2
0,1,1,1,0,1,3.0,77.04,0.0,0,4,1,3,2
0,1,1,0,0,1,3.0,84.62,0.0,0,3,1,4,3
0,1,1,0,0,1,3.0,82.5,0.0,0,4,2,3,3
0,1,0,0,0,1,3.0,58.2,0.0,0,5,2,2,2
1,1,0,1,0,1,3.0,68.33,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,79.49,0.0,0,2,2,2,2
0,1,1,0,0,1,3.0,94.6,0.0,0,1,1,3,3
0,1,0,1,0,1,3.0,84.76,0.0,0,4,1,3,3
0,1,1,1,0,1,3.0,73.91,0.0,0,4,3,3,2
