ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,0,1,0,1,3.0,78.0,0.0,0,3,2,4,2
0,1,1,0,0,1,2.0,68.85,0.0,0,4,3,2,2
0,1,1,1,0,1,1.0,80.0,0.0,0,3,2,5,2
0,1,0,1,0,1,3.0,73.0,0.0,0,2,2,4,2
1,1,1,1,0,1,3.0,77.0,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,89.0,0.0,0,4,2,4,3
0,2,1,1,0,1,3.0,88.0,0.0,0,4,1,3,3
0,1,0,1,0,1,1.0,49.33,0.0,0,4,2,2,2
0,3,0,1,0,1,3.0,46.0,0.0,0,3,2,4,2
0,2,1,1,0,1,1.0,70.0,0.0,0,4,1,3,2
0,1,1,1,0,1,3.0,94.0,0.0,0,3,2,4,3
0,2,0,1,0,1,3.0,75.0,0.0,0,4,2,3,2
0,2,1,1,0,1,3.0,80.0,0.0,0,4,2,4,2
0,1,0,0,0,1,1.0,97.0,0.0,0,4,2,2,4
0,2,1,1,0,1,3.0,78.0,0.0,0,2,2,3,2
0,1,0,0,0,1,1.0,80.0,0.0,0,6,3,4,2
0,2,1,1,0,1,3.0,90.0,0.0,0,3,1,3,3
0,2,1,1,0,1,3.0,77.0,0.0,0,4,2,3,2
1,1,1,1,0,1,3.0,59.0,0.0,0,2,2,4,2
0,2,1,1,0,1,3.0,80.0,0.0,0,2,3,3,2
0,2,1,1,0,1,3.0,90.0,1.0,0,2,2,4,3
0,1,1,0,0,1,4.0,104.92,0.0,0,4,1,3,1
0,1,1,1,0,1,3.0,90.0,1.0,0,3,2,5,3
0,2,1,0,0,1,3.0,69.33,0.0,0,4,2,2,2
0,1,0,1,0,1,1.0,90.0,1.0,0,4,2,4,3
0,1,1,1,0,1,1.0,90.0,1.0,0,2,2,4,3
0,1,0,1,0,1,3.0,89.82,1.0,0,4,1,3,3
0,2,1,0,0,1,1.0,88.93,0.0,0,4,2,3,3
0,1,1,1,0,1,1.0,89.49,1.0,0,2,2,4,3
