ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,1,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,0,0,1,3.0,53.24,0.0,0,4,2,4,2
1,1,1,1,0,1,1.0,79.99,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,95.0,0.0,0,1,3,3,3
1,1,0,1,0,1,1.0,58.06,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,42.16,0.0,0,4,2,2,2
0,1,1,0,0,1,1.0,80.0,0.0,0,1,2,3,2
1,1,0,1,0,1,1.0,62.07,0.0,0,1,2,4,2
0,1,1,1,0,1,1.0,90.0,0.0,0,2,1,3,3
0,4,0,0,0,1,3.0,78.0,0.0,0,2,3,2,2
0,1,1,1,0,2,1.0,100.0,0.0,0,2,2,4,4
0,1,1,1,0,1,3.0,71.0,0.0,0,3,2,4,2
0,3,1,0,0,1,3.0,80.0,0.0,0,1,3,2,2
0,1,1,0,0,1,1.0,82.52,0.0,0,4,3,4,3
0,1,0,1,0,1,3.0,79.81,0.0,0,4,3,4,2
0,3,1,0,0,1,3.0,80.0,0.0,0,2,2,3,2
0,2,0,1,0,1,1.0,75.0,0.0,0,4,2,3,2
0,3,1,0,0,1,3.0,80.0,0.0,0,3,3,1,2
0,1,1,0,0,2,3.0,100.0,0.0,0,4,3,2,4
0,1,1,0,0,1,3.0,79.03,0.0,0,5,1,3,2
0,3,0,0,0,1,3.0,77.19,0.0,0,6,1,3,2
0,1,0,1,0,1,3.0,72.82,0.0,0,2,2,3,2
0,1,0,0,0,1,3.0,66.4,0.0,0,3,3,4,2
0,1,1,1,0,1,3.0,49.23,0.0,0,2,2,4,2
1,1,0,0,0,1,3.0,78.23,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,79.66,0.0,0,3,2,2,2
0,1,1,1,0,1,3.0,80.0,0.0,0,4,1,3,2
0,1,1,0,0,1,3.0,64.37,0.0,0,3,2,3,2
0,1,1,0,0,1,3.0,70.65,0.0,0,4,3,3,2
0,1,1,1,0,1,3.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,3.0,76.88,0.0,0,4,2,2,2
0,1,1,0,0,1,3.0,80.0,0.0,0,3,1,3,2
1,1,1,0,0,1,3.0,96.6,0.0,0,4,2,3,4
0,1,0,1,0,1,1.0,84.0,0.0,0,3,1,3,3
0,1,0,1,0,1,3.0,80.0,0.0,0,4,2,2,2
0,1,1,0,0,1,2.0,85.93,0.0,0,1,2,4,3
0,3,0,0,0,1,2.0,53.846,0.0,0,5,2,2,2
