,derived_ethnicity,derived_race,derived_sex,action_taken,preapproval,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age
0,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,105000.0,75.0,2,2,91.0,48,35-44
1,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,275000.0,52.38,2,2,142.0,44,>74
2,Hispanic or Latino,White,Male,3,2,1,1,235000.0,80.0,2,2,60.0,38,35-44
3,Not Hispanic or Latino,White,Male,1,2,1,1,465000.0,94.69,2,2,112.0,42,35-44
4,Not Hispanic or Latino,Black or African American,Male,1,1,3,1,415000.0,100.0,2,2,83.0,50%-60%,25-34
5,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,215000.0,79.06,2,2,54.0,>60%,55-64
6,Not Hispanic or Latino,White,Male,1,1,3,1,625000.0,100.0,2,2,179.0,30%-<36%,45-54
7,Not Hispanic or Latino,Asian,Male,1,2,1,1,445000.0,100.0,2,2,122.0,40,35-44
8,Joint,White,Male,1,1,3,1,555000.0,98.49,2,2,165.0,30%-<36%,25-34
9,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,755000.0,87.2,2,2,159.0,30%-<36%,35-44
10,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,305000.0,100.0,2,2,66.0,50%-60%,45-54
11,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,75000.0,37.24,2,2,98.0,>60%,45-54
12,Not Hispanic or Latino,White,Male,1,1,3,1,755000.0,99.24,2,2,220.0,30%-<36%,25-34
13,Not Hispanic or Latino,Black or African American,Male,1,1,3,1,505000.0,100.0,2,2,116.0,38,35-44
14,Not Hispanic or Latino,White,Female,1,2,1,2,75000.0,8.98,2,2,83.0,50%-60%,65-74
15,Not Hispanic or Latino,White,Male,1,2,1,4,95000.0,94.99,2,2,204.0,36,35-44
16,Not Hispanic or Latino,Black or African American,Male,1,2,1,4,105000.0,86.91,2,2,,<20%,45-54
17,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,195000.0,134.35,2,2,42.0,50%-60%,35-44
18,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,285000.0,85.0,2,2,82.0,20%-<30%,35-44
19,Hispanic or Latino,Black or African American,Female,1,2,1,31,105000.0,59.7,2,2,68.0,42,65-74
20,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,425000.0,64.78,2,2,87.0,49,45-54
21,Not Hispanic or Latino,2 or more minority races,Male,3,2,3,31,495000.0,100.0,2,2,3078.0,<20%,35-44
22,Not Hispanic or Latino,White,Female,1,1,1,1,535000.0,71.81,2,2,188.0,30%-<36%,25-34
23,Hispanic or Latino,White,Female,3,2,1,2,255000.0,75.38,2,2,108.0,50%-60%,45-54
24,Ethnicity Not Available,Black or African American,Female,1,2,1,2,45000.0,80.0,2,2,107.0,47,55-64
25,Not Hispanic or Latino,White,Female,1,2,1,2,145000.0,95.0,2,2,123.0,49,25-34
26,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,85000.0,88.38,2,2,118.0,43,45-54
27,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,65000.0,89.9,2,2,306.0,38,45-54
28,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,25000.0,52.88,2,2,83.0,30%-<36%,55-64
29,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,135000.0,94.99,2,2,65.0,50%-60%,25-34
30,Not Hispanic or Latino,White,Male,3,2,3,32,265000.0,47.45,2,2,118.0,20%-<30%,55-64
31,Not Hispanic or Latino,White,Male,1,2,1,1,395000.0,79.59,2,2,207.0,38,25-34
32,Not Hispanic or Latino,White,Male,1,1,1,1,1315000.0,85.0,2,2,249.0,40,35-44
33,Not Hispanic or Latino,White,Male,1,1,3,1,565000.0,83.71,2,2,122.0,41,35-44
34,Not Hispanic or Latino,White,Female,1,2,1,2,225000.0,72.95,2,2,169.0,38,45-54
35,Hispanic or Latino,White,Male,1,2,1,1,395000.0,47.87,2,2,77.0,50%-60%,25-34
36,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,735000.0,97.0,2,2,164.0,50%-60%,35-44
37,Ethnicity Not Available,Race Not Available,Female,1,2,1,32,1105000.0,73.33,2,2,267.0,39,35-44
38,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,54.16,2,2,84.0,>60%,35-44
39,Not Hispanic or Latino,Asian,Male,1,1,3,1,435000.0,80.0,2,2,128.0,20%-<30%,35-44
40,Not Hispanic or Latino,2 or more minority races,Female,3,2,2,32,105000.0,47.15,2,2,65.0,30%-<36%,45-54
41,Not Hispanic or Latino,White,Male,3,2,1,32,775000.0,66.95,2,2,140.0,43,55-64
42,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,65000.0,78.63,2,2,171.0,50%-60%,45-54
43,Not Hispanic or Latino,White,Female,1,1,1,1,295000.0,90.0,2,2,162.0,42,55-64
44,Ethnicity Not Available,Race Not Available,Female,1,2,1,2,55000.0,79.89,2,2,139.0,20%-<30%,45-54
45,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,75000.0,48.88,2,2,158.0,30%-<36%,55-64
46,Not Hispanic or Latino,White,Male,3,2,3,32,715000.0,100.0,2,2,-15.0,<20%,35-44
47,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,55000.0,59.52,2,2,142.0,20%-<30%,45-54
48,Not Hispanic or Latino,Asian,Male,1,1,1,1,635000.0,80.0,2,2,125.0,43,35-44
49,Ethnicity Not Available,Race Not Available,Male,1,1,3,1,295000.0,100.0,2,2,101.0,30%-<36%,25-34
50,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,255000.0,50.0,2,2,72.0,50%-60%,45-54
51,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,545000.0,101.74,2,2,143.0,48,35-44
52,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,105000.0,35.93,2,2,129.0,>60%,45-54
53,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,95000.0,82.26,2,2,12.0,>60%,35-44
54,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,105000.0,84.11,2,2,28.0,>60%,45-54
55,Ethnicity Not Available,Race Not Available,Male,3,2,1,4,75000.0,53.56,2,2,112.0,20%-<30%,45-54
56,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,55000.0,26.12,2,2,60.0,50%-60%,55-64
57,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,75000.0,82.66,2,2,127.0,30%-<36%,45-54
58,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,325000.0,50.66,2,2,122.0,42,35-44
59,Not Hispanic or Latino,2 or more minority races,Female,1,2,1,2,105000.0,85.93,2,2,156.0,38,45-54
60,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,55.62,2,2,126.0,>60%,55-64
61,Not Hispanic or Latino,White,Male,1,2,1,2,75000.0,92.57,2,2,71.0,47,55-64
62,Not Hispanic or Latino,Race Not Available,Female,3,2,1,2,25000.0,79.09,2,2,130.0,20%-<30%,35-44
63,Not Hispanic or Latino,White,Male,1,2,1,2,85000.0,6.8,1,2,95.0,30%-<36%,65-74
64,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,55000.0,72.9,2,2,55.0,50%-60%,35-44
65,Hispanic or Latino,White,Female,3,2,1,2,255000.0,75.42,2,2,106.0,>60%,45-54
66,Ethnicity Not Available,American Indian or Alaska Native,Female,3,2,1,2,75000.0,54.57,2,2,37.0,>60%,55-64
67,Not Hispanic or Latino,White,Male,1,2,1,2,65000.0,94.02,2,2,126.0,20%-<30%,45-54
68,Not Hispanic or Latino,White,Female,3,2,1,2,35000.0,89.99,2,2,144.0,30%-<36%,25-34
69,Ethnicity Not Available,Race Not Available,Male,1,2,1,4,105000.0,89.97,2,2,98.0,44,55-64
70,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,55000.0,53.17,2,2,115.0,>60%,55-64
71,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,265000.0,101.74,2,2,80.0,30%-<36%,35-44
72,Not Hispanic or Latino,White,Male,1,2,1,2,255000.0,89.74,2,2,147.0,>60%,45-54
73,Not Hispanic or Latino,White,Male,3,2,1,4,85000.0,85.21,2,2,153.0,>60%,35-44
74,Hispanic or Latino,Black or African American,Male,1,2,1,32,165000.0,95.0,2,2,154.0,50%-60%,45-54
75,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,225000.0,71.23,2,2,105.0,>60%,25-34
76,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,385000.0,106.31,2,2,79.0,>60%,25-34
77,Not Hispanic or Latino,White,Female,3,2,3,1,445000.0,100.0,2,2,149.0,40,45-54
78,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,205000.0,43.01,2,2,66.0,>60%,45-54
79,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,255000.0,70.0,2,2,64.0,50%-60%,35-44
80,Not Hispanic or Latino,White,Male,1,2,1,2,155000.0,90.0,2,2,150.0,50%-60%,45-54
81,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,545000.0,80.1,2,2,65.0,>60%,45-54
82,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,535000.0,73.48,2,2,150.0,50%-60%,45-54
83,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,65000.0,75.3,2,2,138.0,38,35-44
84,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,75000.0,10.0,2,2,120.0,<20%,45-54
85,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,105000.0,54.4,1,2,25.0,>60%,65-74
86,Not Hispanic or Latino,Black or African American,Male,1,1,3,1,605000.0,93.14,2,2,145.0,50%-60%,25-34
87,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,435000.0,95.0,2,2,106.0,36,25-34
88,Not Hispanic or Latino,White,Male,1,2,1,2,55000.0,64.93,2,2,158.0,50%-60%,35-44
89,Ethnicity Not Available,Race Not Available,Female,1,2,1,1,65000.0,100.0,2,2,400.0,<20%,45-54
90,Hispanic or Latino,Race Not Available,Female,3,2,1,4,205000.0,46.51,2,2,47.0,>60%,45-54
91,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,55000.0,51.36,2,2,68.0,41,35-44
92,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,355000.0,101.75,2,2,154.0,30%-<36%,35-44
93,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,265000.0,74.28,2,2,55.0,>60%,35-44
94,Hispanic or Latino,White,Male,3,2,1,32,505000.0,82.11,2,2,840.0,<20%,25-34
95,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,85000.0,82.6,2,2,95.0,50%-60%,35-44
96,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,185000.0,25.83,1,2,62.0,40,55-64
97,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,525000.0,89.52,2,2,123.0,>60%,35-44
98,Not Hispanic or Latino,White,Female,1,2,1,32,875000.0,70.0,2,2,192.0,41,45-54
99,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,105000.0,63.68,2,2,138.0,46,55-64
100,Not Hispanic or Latino,Asian,Male,1,1,1,1,365000.0,100.0,2,2,217.0,>60%,25-34
101,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,325000.0,101.75,2,2,79.0,43,25-34
102,Not Hispanic or Latino,Black or African American,Female,1,1,3,1,515000.0,100.0,2,2,124.0,50%-60%,35-44
103,Not Hispanic or Latino,White,Male,1,2,1,32,415000.0,73.87,2,2,96.0,50%-60%,45-54
104,Ethnicity Not Available,Race Not Available,Male,3,2,1,2,355000.0,77.33,2,2,145.0,>60%,45-54
105,Not Hispanic or Latino,White,Female,1,2,1,31,175000.0,61.97,2,2,101.0,40,35-44
106,Not Hispanic or Latino,White,Male,1,1,1,1,175000.0,95.0,2,2,70.0,20%-<30%,35-44
107,Not Hispanic or Latino,White,Female,1,1,1,1,345000.0,53.77,2,2,114.0,20%-<30%,25-34
108,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,395000.0,101.74,2,2,88.0,48,35-44
109,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,105000.0,96.47,2,2,93.0,36,25-34
110,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,425000.0,97.0,2,2,124.0,20%-<30%,35-44
111,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,65000.0,34.86,2,2,116.0,50%-60%,45-54
112,Not Hispanic or Latino,Black or African American,Female,1,2,1,4,125000.0,66.03,2,2,68.0,50%-60%,35-44
113,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,195000.0,64.2,2,2,89.0,>60%,55-64
114,Ethnicity Not Available,Race Not Available,Female,1,1,1,1,585000.0,85.0,2,2,140.0,38,35-44
115,Not Hispanic or Latino,Black or African American,Female,3,2,1,1,165000.0,101.75,2,2,97.0,30%-<36%,25-34
116,Not Hispanic or Latino,Black or African American,Male,1,2,1,4,25000.0,89.84,2,2,84.0,50%-60%,55-64
117,Not Hispanic or Latino,White,Male,1,1,1,1,915000.0,101.74,2,2,230.0,48,35-44
118,Not Hispanic or Latino,White,Male,1,1,1,1,245000.0,57.0,2,2,85.0,20%-<30%,25-34
119,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,135000.0,34.93,2,2,54.0,>60%,55-64
120,Not Hispanic or Latino,White,Male,1,1,1,1,635000.0,100.0,2,2,,<20%,35-44
121,Not Hispanic or Latino,Black or African American,Female,1,1,1,1,295000.0,101.74,2,2,85.0,40,45-54
122,Not Hispanic or Latino,White,Male,1,1,1,1,345000.0,94.0,2,2,81.0,>60%,25-34
